X,Y,Z,non_zero_elements
-0.001,0.002,0.004,59
-0.0005,0.002,0.004,69
0,0.002,0.004,73
0.0005,0.002,0.004,69
0.001,0.002,0.004,59
-0.001,-0.002,0.0045,56
-0.0005,-0.002,0.0045,66
0,-0.002,0.0045,70
0.0005,-0.002,0.0045,66
0.001,-0.002,0.0045,56
-0.0015,-0.0015,0.0045,64
-0.001,-0.0015,0.0045,81
-0.0005,-0.0015,0.0045,91
0,-0.0015,0.0045,97
0.0005,-0.0015,0.0045,91
0.001,-0.0015,0.0045,81
0.0015,-0.0015,0.0045,64
-0.002,-0.001,0.0045,56
-0.0015,-0.001,0.0045,81
-0.001,-0.001,0.0045,100
-0.0005,-0.001,0.0045,100
0,-0.001,0.0045,100
0.0005,-0.001,0.0045,100
0.001,-0.001,0.0045,100
0.0015,-0.001,0.0045,81
0.002,-0.001,0.0045,56
-0.002,-0.0005,0.0045,66
-0.0015,-0.0005,0.0045,91
-0.001,-0.0005,0.0045,100
-0.0005,-0.0005,0.0045,100
0,-0.0005,0.0045,100
0.0005,-0.0005,0.0045,100
0.001,-0.0005,0.0045,100
0.0015,-0.0005,0.0045,91
0.002,-0.0005,0.0045,66
-0.002,0,0.0045,70
-0.0015,0,0.0045,97
-0.001,0,0.0045,100
-0.0005,0,0.0045,100
0,0,0.0045,100
0.0005,0,0.0045,100
0.001,0,0.0045,100
0.0015,0,0.0045,97
0.002,0,0.0045,70
-0.002,0.0005,0.0045,66
-0.0015,0.0005,0.0045,91
-0.001,0.0005,0.0045,100
-0.0005,0.0005,0.0045,100
0,0.0005,0.0045,100
0.0005,0.0005,0.0045,100
0.001,0.0005,0.0045,100
0.0015,0.0005,0.0045,91
0.002,0.0005,0.0045,66
-0.002,0.001,0.0045,56
-0.0015,0.001,0.0045,81
-0.001,0.001,0.0045,100
-0.0005,0.001,0.0045,100
0,0.001,0.0045,100
0.0005,0.001,0.0045,100
0.001,0.001,0.0045,100
0.0015,0.001,0.0045,81
0.002,0.001,0.0045,56
-0.0015,0.0015,0.0045,64
-0.001,0.0015,0.0045,81
-0.0005,0.0015,0.0045,91
0,0.0015,0.0045,97
0.0005,0.0015,0.0045,91
0.001,0.0015,0.0045,81
0.0015,0.0015,0.0045,64
-0.001,0.002,0.0045,56
-0.0005,0.002,0.0045,66
0,0.002,0.0045,70
0.0005,0.002,0.0045,66
0.001,0.002,0.0045,56
-0.001,-0.002,0.005,57
-0.0005,-0.002,0.005,67
0,-0.002,0.005,71
0.0005,-0.002,0.005,67
0.001,-0.002,0.005,57
-0.0015,-0.0015,0.005,65
-0.001,-0.0015,0.005,82
-0.0005,-0.0015,0.005,92
0,-0.0015,0.005,98
0.0005,-0.0015,0.005,92
0.001,-0.0015,0.005,82
0.0015,-0.0015,0.005,65
-0.002,-0.001,0.005,57
-0.0015,-0.001,0.005,82
-0.001,-0.001,0.005,100
-0.0005,-0.001,0.005,100
0,-0.001,0.005,100
0.0005,-0.001,0.005,100
0.001,-0.001,0.005,100
0.0015,-0.001,0.005,82
0.002,-0.001,0.005,57
-0.002,-0.0005,0.005,67
-0.0015,-0.0005,0.005,92
-0.001,-0.0005,0.005,100
-0.0005,-0.0005,0.005,100
0,-0.0005,0.005,100
0.0005,-0.0005,0.005,100
0.001,-0.0005,0.005,100
0.0015,-0.0005,0.005,92
0.002,-0.0005,0.005,67
-0.002,0,0.005,71
-0.0015,0,0.005,98
-0.001,0,0.005,100
-0.0005,0,0.005,100
0,0,0.005,100
0.0005,0,0.005,100
0.001,0,0.005,100
0.0015,0,0.005,98
0.002,0,0.005,71
-0.002,0.0005,0.005,67
-0.0015,0.0005,0.005,92
-0.001,0.0005,0.005,100
-0.0005,0.0005,0.005,100
0,0.0005,0.005,100
0.0005,0.0005,0.005,100
0.001,0.0005,0.005,100
0.0015,0.0005,0.005,92
0.002,0.0005,0.005,67
-0.002,0.001,0.005,57
-0.0015,0.001,0.005,82
-0.001,0.001,0.005,100
-0.0005,0.001,0.005,100
0,0.001,0.005,100
0.0005,0.001,0.005,100
0.001,0.001,0.005,100
0.0015,0.001,0.005,82
0.002,0.001,0.005,57
-0.0015,0.0015,0.005,65
-0.001,0.0015,0.005,82
-0.0005,0.0015,0.005,92
0,0.0015,0.005,98
0.0005,0.0015,0.005,92
0.001,0.0015,0.005,82
0.0015,0.0015,0.005,65
-0.001,0.002,0.005,57
-0.0005,0.002,0.005,67
0,0.002,0.005,71
0.0005,0.002,0.005,67
0.001,0.002,0.005,57
-0.001,-0.002,0.0055,56
-0.0005,-0.002,0.0055,66
0,-0.002,0.0055,70
0.0005,-0.002,0.0055,66
0.001,-0.002,0.0055,56
-0.0015,-0.0015,0.0055,64
-0.001,-0.0015,0.0055,81
-0.0005,-0.0015,0.0055,91
0,-0.0015,0.0055,97
0.0005,-0.0015,0.0055,91
0.001,-0.0015,0.0055,81
0.0015,-0.0015,0.0055,64
-0.002,-0.001,0.0055,56
-0.0015,-0.001,0.0055,81
-0.001,-0.001,0.0055,100
-0.0005,-0.001,0.0055,100
0,-0.001,0.0055,100
0.0005,-0.001,0.0055,100
0.001,-0.001,0.0055,100
0.0015,-0.001,0.0055,81
0.002,-0.001,0.0055,56
-0.002,-0.0005,0.0055,66
-0.0015,-0.0005,0.0055,91
-0.001,-0.0005,0.0055,100
-0.0005,-0.0005,0.0055,100
0,-0.0005,0.0055,100
0.0005,-0.0005,0.0055,100
0.001,-0.0005,0.0055,100
0.0015,-0.0005,0.0055,91
0.002,-0.0005,0.0055,66
-0.002,0,0.0055,70
-0.0015,0,0.0055,97
-0.001,0,0.0055,100
-0.0005,0,0.0055,100
0,0,0.0055,100
0.0005,0,0.0055,100
0.001,0,0.0055,100
0.0015,0,0.0055,97
0.002,0,0.0055,70
-0.002,0.0005,0.0055,66
-0.0015,0.0005,0.0055,91
-0.001,0.0005,0.0055,100
-0.0005,0.0005,0.0055,100
0,0.0005,0.0055,100
0.0005,0.0005,0.0055,100
0.001,0.0005,0.0055,100
0.0015,0.0005,0.0055,91
0.002,0.0005,0.0055,66
-0.002,0.001,0.0055,56
-0.0015,0.001,0.0055,81
-0.001,0.001,0.0055,100
-0.0005,0.001,0.0055,100
0,0.001,0.0055,100
0.0005,0.001,0.0055,100
0.001,0.001,0.0055,100
0.0015,0.001,0.0055,81
0.002,0.001,0.0055,56
-0.0015,0.0015,0.0055,64
-0.001,0.0015,0.0055,81
-0.0005,0.0015,0.0055,91
0,0.0015,0.0055,97
0.0005,0.0015,0.0055,91
0.001,0.0015,0.0055,81
0.0015,0.0015,0.0055,64
-0.001,0.002,0.0055,56
-0.0005,0.002,0.0055,66
0,0.002,0.0055,70
0.0005,0.002,0.0055,66
0.001,0.002,0.0055,56
-0.001,-0.002,0.006,56
-0.0005,-0.002,0.006,66
0,-0.002,0.006,70
0.0005,-0.002,0.006,66
0.001,-0.002,0.006,56
-0.0015,-0.0015,0.006,64
-0.001,-0.0015,0.006,81
-0.0005,-0.0015,0.006,91
0,-0.0015,0.006,97
0.0005,-0.0015,0.006,91
0.001,-0.0015,0.006,81
0.0015,-0.0015,0.006,64
-0.002,-0.001,0.006,56
-0.0015,-0.001,0.006,81
-0.001,-0.001,0.006,100
-0.0005,-0.001,0.006,100
0,-0.001,0.006,100
0.0005,-0.001,0.006,100
0.001,-0.001,0.006,100
0.0015,-0.001,0.006,81
0.002,-0.001,0.006,56
-0.002,-0.0005,0.006,66
-0.0015,-0.0005,0.006,91
-0.001,-0.0005,0.006,100
-0.0005,-0.0005,0.006,100
0,-0.0005,0.006,100
0.0005,-0.0005,0.006,100
0.001,-0.0005,0.006,100
0.0015,-0.0005,0.006,91
0.002,-0.0005,0.006,66
-0.002,0,0.006,70
-0.0015,0,0.006,97
-0.001,0,0.006,100
-0.0005,0,0.006,100
0,0,0.006,100
0.0005,0,0.006,100
0.001,0,0.006,100
0.0015,0,0.006,97
0.002,0,0.006,70
-0.002,0.0005,0.006,66
-0.0015,0.0005,0.006,91
-0.001,0.0005,0.006,100
-0.0005,0.0005,0.006,100
0,0.0005,0.006,100
0.0005,0.0005,0.006,100
0.001,0.0005,0.006,100
0.0015,0.0005,0.006,91
0.002,0.0005,0.006,66
-0.002,0.001,0.006,56
-0.0015,0.001,0.006,81
-0.001,0.001,0.006,100
-0.0005,0.001,0.006,100
0,0.001,0.006,100
0.0005,0.001,0.006,100
0.001,0.001,0.006,100
0.0015,0.001,0.006,81
0.002,0.001,0.006,56
-0.0015,0.0015,0.006,64
-0.001,0.0015,0.006,81
-0.0005,0.0015,0.006,91
0,0.0015,0.006,97
0.0005,0.0015,0.006,91
0.001,0.0015,0.006,81
0.0015,0.0015,0.006,64
